Epoch 1, Validation Loss: 0.325
Epoch 2, Validation Loss: 0.334
Epoch 3, Validation Loss: 0.349
Epoch 4, Validation Loss: 0.315
Epoch 5, Validation Loss: 0.319
Epoch 6, Validation Loss: 0.317
Epoch 7, Validation Loss: 0.316
Epoch 8, Validation Loss: 0.325
Epoch 9, Validation Loss: 0.313
Epoch 10, Validation Loss: 0.408
Epoch 11, Validation Loss: 0.408
Epoch 12, Validation Loss: 0.320
Epoch 13, Validation Loss: 0.321
Epoch 14, Validation Loss: 0.320
Epoch 15, Validation Loss: 0.227
Epoch 16, Validation Loss: 0.196
Epoch 17, Validation Loss: 0.199
Epoch 18, Validation Loss: 0.206
Epoch 19, Validation Loss: 0.154
Epoch 20, Validation Loss: 0.123
Epoch 21, Validation Loss: 0.124
Epoch 22, Validation Loss: 0.108
Epoch 23, Validation Loss: 0.114
Epoch 24, Validation Loss: 0.124
Epoch 25, Validation Loss: 0.182
Epoch 26, Validation Loss: 0.105
Epoch 27, Validation Loss: 0.103
Epoch 28, Validation Loss: 0.113
Epoch 29, Validation Loss: 0.112
Epoch 30, Validation Loss: 0.098
Epoch 31, Validation Loss: 0.092
Epoch 32, Validation Loss: 0.112
Epoch 33, Validation Loss: 0.100
Epoch 34, Validation Loss: 0.093
Epoch 35, Validation Loss: 0.089
Epoch 36, Validation Loss: 0.088
Epoch 37, Validation Loss: 0.090
Epoch 38, Validation Loss: 0.093
Epoch 39, Validation Loss: 0.089
Epoch 40, Validation Loss: 0.091
Epoch 41, Validation Loss: 0.090
Epoch 42, Validation Loss: 0.085
Epoch 43, Validation Loss: 0.083
Epoch 44, Validation Loss: 0.076
Epoch 45, Validation Loss: 0.077
Epoch 46, Validation Loss: 0.089
Epoch 47, Validation Loss: 0.083
Epoch 48, Validation Loss: 0.099
Epoch 49, Validation Loss: 0.078
Epoch 50, Validation Loss: 0.091
Epoch 51, Validation Loss: 0.074
Epoch 52, Validation Loss: 0.076
Epoch 53, Validation Loss: 0.084
Epoch 54, Validation Loss: 0.077
Epoch 55, Validation Loss: 0.065
Epoch 56, Validation Loss: 0.067
Epoch 57, Validation Loss: 0.061
Epoch 58, Validation Loss: 0.066
Epoch 59, Validation Loss: 0.064
Epoch 60, Validation Loss: 0.058
Epoch 61, Validation Loss: 0.056
Epoch 62, Validation Loss: 0.064
Epoch 63, Validation Loss: 0.055
Epoch 64, Validation Loss: 0.054
Epoch 65, Validation Loss: 0.050
Epoch 66, Validation Loss: 0.059
Epoch 67, Validation Loss: 0.062
Epoch 68, Validation Loss: 0.052
Epoch 69, Validation Loss: 0.058
Epoch 70, Validation Loss: 0.051
Epoch 71, Validation Loss: 0.056
Epoch 72, Validation Loss: 0.051
Epoch 73, Validation Loss: 0.079
Epoch 74, Validation Loss: 0.076
Epoch 75, Validation Loss: 0.057
Epoch 76, Validation Loss: 0.070
Epoch 77, Validation Loss: 0.055
Epoch 78, Validation Loss: 0.054
Epoch 79, Validation Loss: 0.061
Epoch 80, Validation Loss: 0.051
Epoch 81, Validation Loss: 0.051
Epoch 82, Validation Loss: 0.054
Epoch 83, Validation Loss: 0.060
Epoch 84, Validation Loss: 0.066
Epoch 85, Validation Loss: 0.054
Epoch 86, Validation Loss: 0.053
Epoch 87, Validation Loss: 0.049
Epoch 88, Validation Loss: 0.050
Epoch 89, Validation Loss: 0.054
Epoch 90, Validation Loss: 0.055
Epoch 91, Validation Loss: 0.054
Epoch 92, Validation Loss: 0.051
Epoch 93, Validation Loss: 0.050
Epoch 94, Validation Loss: 0.057
Epoch 95, Validation Loss: 0.052
Epoch 96, Validation Loss: 0.051
Epoch 97, Validation Loss: 0.056
Epoch 98, Validation Loss: 0.050
Epoch 99, Validation Loss: 0.054
